"Screen Resolution","Market Share Perc. (Feb 2020 - Feb 2021)"
"1366x768",34.7
"1920x1080",10.4
"1536x864",7.42
"1600x900",5.74
"1440x900",4.44
"1280x1024",4.43
"1280x720",4.37
"1024x768",4.36
"1280x800",3.24
"1680x1050",1.75
"360x640",1.48
"1360x768",1.44
"320x640",1.17
"320x570",0.99
"360x720",0.91
"2560x1440",0.83
"360x800",0.69
"320x534",0.61
"768x1024",0.54
"1920x1200",0.49
"Other",10.01
