"Screen Resolution","Market Share Perc. (Feb 2020 - Feb 2021)"
"1366x768",28.06
"1920x1080",19.94
"1536x864",9.58
"1280x720",5.55
"1440x900",5.23
"1600x900",3.7
"1024x768",2.53
"1280x800",2.15
"1280x1024",1.94
"1360x768",1.57
"2560x1440",1.5
"768x1024",1.36
"1680x1050",1.31
"360x640",0.85
"800x600",0.82
"360x800",0.66
"360x780",0.57
"360x760",0.57
"1920x1200",0.51
"1093x615",0.42
"Other",11.19
